symbol,mode,side,entry_price,exit_price,tp_price,sl_price,net_pnl,hold_bars,exit_reason
AAVE/USDC:USDC,TREND_v1,short,237.26,240.71,221.2642857142857,245.25785714285715,-1.393989,4,TIMEOUT
AAVE/USDC:USDC,TREND_v1,short,239.2,229.24142857142857,229.24142857142857,244.1792857142857,3.998591,3,TP
AAVE/USDC:USDC,TREND_v1,short,229.76,226.86,219.38142857142856,234.9492857142857,1.213595,4,TIMEOUT
AAVE/USDC:USDC,TREND_v1,short,226.79,231.33714285714285,217.69571428571427,231.33714285714285,-1.922843,1,SL
AAVE/USDC:USDC,TREND_v1,short,231.99,231.62,222.4557142857143,236.75714285714287,0.155027,4,TIMEOUT
AAVE/USDC:USDC,TREND_v1,short,228.92,233.07857142857142,220.60285714285712,233.07857142857142,-1.741986,2,SL
AAVE/USDC:USDC,TREND_v1,short,237.75,242.30428571428573,228.64142857142858,242.30428571428573,-1.836998,1,SL
AAVE/USDC:USDC,TREND_v1,long,251.43,251.94,261.24428571428575,246.52285714285716,0.19665,4,TIMEOUT
AAVE/USDC:USDC,TREND_v1,long,253.06,247.97071428571428,263.23857142857145,247.97071428571428,-1.928773,2,SL
AAVE/USDC:USDC,TREND_v1,long,249.61,252.45,260.21857142857147,244.3057142857143,1.094206,4,TIMEOUT
AAVE/USDC:USDC,TREND_v1,short,242.23,246.61357142857142,233.46285714285713,246.61357142857142,-1.735332,4,SL
AAVE/USDC:USDC,TREND_v1,short,251.01,252.91,240.15857142857143,256.43571428571425,-0.72473,4,TIMEOUT
AAVE/USDC:USDC,TREND_v1,long,253.64,253.39,263.35285714285715,248.7835714285714,-0.092704,4,TIMEOUT
AAVE/USDC:USDC,TREND_v1,short,239.72,240.58,231.56857142857143,243.79571428571427,-0.342475,4,TIMEOUT
AAVE/USDC:USDC,TREND_v1,short,243.34,240.04,235.69714285714286,247.1614285714286,1.303776,4,TIMEOUT
AAVE/USDC:USDC,TREND_v1,short,242.71,236.63285714285715,236.63285714285715,245.74857142857144,2.405587,3,TP
AAVE/USDC:USDC,TREND_v1,short,243.57,241.06,236.90142857142857,246.90428571428572,0.991185,4,TIMEOUT
AAVE/USDC:USDC,TREND_v1,short,235.73,239.56857142857143,228.05285714285714,239.56857142857143,-1.56129,1,SL
AAVE/USDC:USDC,TREND_v1,short,235.87,227.4557142857143,227.4557142857143,240.07714285714286,3.426498,4,TP
AAVE/USDC:USDC,TREND_v1,short,223.14,222.73,214.4642857142857,227.47785714285712,0.178308,4,TIMEOUT
AAVE/USDC:USDC,TREND_v1,short,221.83,213.54428571428573,213.54428571428573,225.97285714285715,3.587606,3,TP
AAVE/USDC:USDC,TREND_v1,short,204.64,208.92,196.07999999999998,208.92,-2.005858,1,SL
AAVE/USDC:USDC,TREND_v1,short,209.98,200.81571428571428,200.81571428571428,214.56214285714285,4.191623,3,TP
AAVE/USDC:USDC,TREND_v1,short,205.69,203.19,195.7814285714286,210.6442857142857,1.168701,4,TIMEOUT
AAVE/USDC:USDC,TREND_v1,short,206.68,205.87,196.18428571428572,211.92785714285714,0.378146,4,TIMEOUT
AAVE/USDC:USDC,TREND_v1,short,208.2,208.62,200.37571428571428,212.11214285714286,-0.191736,4,TIMEOUT
AAVE/USDC:USDC,TREND_v1,short,207.84,210.58142857142857,202.35714285714286,210.58142857142857,-1.264303,1,SL
AAVE/USDC:USDC,TREND_v1,short,209.41,208.11,204.31285714285713,211.95857142857142,0.597868,4,TIMEOUT
AAVE/USDC:USDC,TREND_v1,long,215.4,213.2257142857143,219.74857142857144,213.2257142857143,-0.96714,2,SL
AAVE/USDC:USDC,TREND_v1,long,216.14,213.99214285714285,220.43571428571425,213.99214285714285,-0.952084,3,SL
AAVE/USDC:USDC,TREND_v1,long,220.77,226.04142857142858,226.04142857142858,218.13428571428574,2.294203,3,TP
AAVE/USDC:USDC,TREND_v1,long,224.69,224.21,230.9042857142857,221.58285714285714,-0.203167,4,TIMEOUT
AAVE/USDC:USDC,TREND_v1,long,224.92,221.915,230.92999999999998,221.915,-1.280695,4,SL
AAVE/USDC:USDC,TREND_v1,long,221.66,226.74285714285713,226.74285714285713,219.1185714285714,2.203328,1,TP
AAVE/USDC:USDC,TREND_v1,long,228.98,234.10999999999999,234.10999999999999,226.415,2.152719,2,TP
AAVE/USDC:USDC,TREND_v1,long,233.68,231.82,239.0614285714286,230.98928571428573,-0.762217,4,TIMEOUT
AAVE/USDC:USDC,TREND_v1,long,230.94,227.9857142857143,236.84857142857143,227.9857142857143,-1.226179,4,SL
AAVE/USDC:USDC,TREND_v1,long,227.69,229.04,233.0257142857143,225.02214285714285,0.571126,4,TIMEOUT
AAVE/USDC:USDC,TREND_v1,long,231.29,227.48071428571427,238.9085714285714,227.48071428571427,-1.579206,3,SL
AAVE/USDC:USDC,TREND_v1,long,232.93,230.29000000000002,238.21,230.29000000000002,-1.086154,2,SL
AAVE/USDC:USDC,TREND_v1,long,230.3,228.06357142857144,234.77285714285716,228.06357142857144,-0.930349,2,SL
AAVE/USDC:USDC,TREND_v1,long,229.07,226.3742857142857,234.46142857142857,226.3742857142857,-1.127838,1,SL
AAVE/USDC:USDC,TREND_v1,long,225.69,229.07,231.37428571428572,222.84785714285715,1.439673,4,TIMEOUT
AAVE/USDC:USDC,TREND_v1,long,239.34,237.13857142857142,243.74285714285713,237.13857142857142,-0.881097,1,SL
AAVE/USDC:USDC,TREND_v1,long,236.01,235.96,240.65571428571428,233.68714285714285,-0.018419,4,TIMEOUT
AAVE/USDC:USDC,TREND_v1,long,237.0,241.8685714285714,241.8685714285714,234.56571428571428,1.974039,1,TP
AAVE/USDC:USDC,TREND_v1,long,240.61,244.03,245.75,238.04000000000002,1.366479,4,TIMEOUT
AAVE/USDC:USDC,TREND_v1,long,245.2,249.2442857142857,249.2442857142857,243.17785714285714,1.585359,1,TP
AAVE/USDC:USDC,TREND_v1,long,245.62,243.4557142857143,249.94857142857143,243.4557142857143,-0.844003,1,SL
AAVE/USDC:USDC,TREND_v1,long,238.84,236.23928571428573,244.04142857142858,236.23928571428573,-1.043439,4,SL
AAVE/USDC:USDC,TREND_v1,short,237.46,240.0657142857143,232.24857142857144,240.0657142857143,-1.051493,1,SL
AAVE/USDC:USDC,TREND_v1,long,240.55,237.7757142857143,246.09857142857143,237.7757142857143,-1.105279,2,SL
AAVE/USDC:USDC,TREND_v1,short,227.02,228.68,220.2257142857143,230.41714285714286,-0.700031,4,TIMEOUT
AAVE/USDC:USDC,TREND_v1,short,229.57,229.96,223.00714285714284,232.85142857142856,-0.161164,4,TIMEOUT
AAVE/USDC:USDC,TREND_v1,short,229.32,227.63,224.54,231.70999999999998,0.709389,4,TIMEOUT
AAVE/USDC:USDC,TREND_v1,short,231.24,227.59857142857143,227.59857142857143,233.06071428571428,1.51364,4,TP
AAVE/USDC:USDC,TREND_v1,short,228.01,230.19642857142856,223.63714285714283,230.19642857142856,-0.918623,1,SL
AAVE/USDC:USDC,TREND_v1,short,230.32,233.73785714285714,223.4842857142857,233.73785714285714,-1.422653,1,SL
AAVE/USDC:USDC,TREND_v1,short,223.11,227.7257142857143,213.87857142857143,227.7257142857143,-1.984095,1,SL
AAVE/USDC:USDC,TREND_v1,short,229.94,223.06,220.8857142857143,234.46714285714285,2.874264,4,TIMEOUT
AAVE/USDC:USDC,TREND_v1,short,219.35,212.09428571428572,212.09428571428572,222.97785714285715,3.177369,4,TP
AAVE/USDC:USDC,TREND_v1,short,212.13,212.29,204.41285714285715,215.98857142857142,-0.070487,4,TIMEOUT
AAVE/USDC:USDC,TREND_v1,short,213.42,216.57285714285712,207.1142857142857,216.57285714285712,-1.416261,2,SL
AAVE/USDC:USDC,TREND_v1,short,216.89,217.87,210.62285714285713,220.02357142857142,-0.43184,4,TIMEOUT
AAVE/USDC:USDC,TREND_v1,short,217.18,219.625,212.29,219.625,-1.078821,4,SL
AAVE/USDC:USDC,TREND_v1,long,219.06,216.86928571428572,223.44142857142856,216.86928571428572,-0.958149,3,SL
AAVE/USDC:USDC,TREND_v1,long,231.68,227.71357142857144,239.61285714285714,227.71357142857144,-1.641661,4,SL
AAVE/USDC:USDC,TREND_v1,long,227.53,225.97,235.90857142857143,223.34071428571428,-0.656292,4,TIMEOUT
AAVE/USDC:USDC,TREND_v1,short,203.38,199.6,193.22857142857143,208.4557142857143,1.786131,4,TIMEOUT
AAVE/USDC:USDC,TREND_v1,short,199.48,204.30785714285713,189.8242857142857,204.30785714285713,-2.321446,3,SL
AAVE/USDC:USDC,TREND_v1,short,202.12,192.7057142857143,192.7057142857143,206.82714285714286,4.47329,3,TP
AAVE/USDC:USDC,TREND_v1,short,196.78,195.64,188.2214285714286,201.05928571428572,0.558063,4,TIMEOUT
AAVE/USDC:USDC,TREND_v1,short,196.04,199.85571428571427,188.4085714285714,199.85571428571427,-1.866583,1,SL
AAVE/USDC:USDC,TREND_v1,short,193.85,184.7742857142857,184.7742857142857,198.38785714285714,4.49638,2,TP
AAVE/USDC:USDC,TREND_v1,short,186.03,190.85714285714286,176.37571428571428,190.85714285714286,-2.489057,3,SL
AAVE/USDC:USDC,TREND_v1,short,186.24,191.89857142857144,174.92285714285717,191.89857142857144,-2.914811,2,SL
AAVE/USDC:USDC,TREND_v1,short,198.97,195.75,186.33142857142857,205.2892857142857,1.55549,4,TIMEOUT
AAVE/USDC:USDC,TREND_v1,long,213.27,216.4,218.49428571428572,210.65785714285715,1.410866,4,TIMEOUT
AAVE/USDC:USDC,TREND_v1,long,218.25,220.26,224.84,214.955,0.886061,4,TIMEOUT
AAVE/USDC:USDC,TREND_v1,long,220.92,224.44,226.41714285714284,218.17142857142855,1.531554,4,TIMEOUT
AAVE/USDC:USDC,TREND_v1,long,224.11,221.24857142857144,229.83285714285716,221.24857142857144,-1.223829,3,SL
AAVE/USDC:USDC,TREND_v1,long,217.53,223.03142857142856,223.03142857142856,214.77928571428572,2.42985,3,TP
AAVE/USDC:USDC,TREND_v1,long,224.09,220.9507142857143,230.36857142857144,220.9507142857143,-1.342975,1,SL
AAVE/USDC:USDC,TREND_v1,long,228.18,230.28,235.8657142857143,224.33714285714285,0.885451,4,TIMEOUT
AAVE/USDC:USDC,TREND_v1,long,227.0,222.23714285714286,236.5257142857143,222.23714285714286,-2.012368,1,SL
AAVE/USDC:USDC,TREND_v1,long,216.72,218.6,226.79000000000002,211.685,0.834716,4,TIMEOUT
AAVE/USDC:USDC,TREND_v1,short,216.24,214.65,207.8257142857143,220.44714285714286,0.707788,4,TIMEOUT
AAVE/USDC:USDC,TREND_v1,short,213.62,208.88,206.81,217.025,2.132015,4,TIMEOUT
AAVE/USDC:USDC,TREND_v1,short,209.17,209.48,203.69285714285715,211.9085714285714,-0.140354,4,TIMEOUT
AAVE/USDC:USDC,TREND_v1,short,212.26,208.31,206.6342857142857,215.07285714285715,1.788373,4,TIMEOUT
AAVE/USDC:USDC,TREND_v1,short,212.94,215.58642857142857,207.64714285714285,215.58642857142857,-1.191149,2,SL
AAVE/USDC:USDC,TREND_v1,long,218.29,215.72285714285715,223.4242857142857,215.72285714285715,-1.127086,2,SL
AAVE/USDC:USDC,TREND_v1,short,204.33,205.83,197.70428571428573,207.64285714285714,-0.702808,4,TIMEOUT
AAVE/USDC:USDC,TREND_v1,short,205.98,209.43642857142856,199.06714285714284,209.43642857142856,-1.608967,4,SL
AAVE/USDC:USDC,TREND_v1,short,209.33,213.0307142857143,201.92857142857144,213.0307142857143,-1.695216,2,SL
AAVE/USDC:USDC,TREND_v1,short,194.2,196.71,186.48857142857142,198.0557142857143,-1.238838,4,TIMEOUT
AAVE/USDC:USDC,TREND_v1,short,198.82,193.17,190.45,203.005,2.729961,4,TIMEOUT
AAVE/USDC:USDC,TREND_v1,short,187.21,185.15,178.32428571428574,191.65285714285716,1.058253,4,TIMEOUT
AAVE/USDC:USDC,TREND_v1,short,183.21,175.75714285714287,175.75714285714287,186.93642857142856,3.907056,3,TP
