symbol,fold,param_adx_rising_bars,param_adx_min,param_z_entry_min,param_z_entry_max,param_sl_mult,param_max_hold_bars,oos_n,oos_sharpe,oos_total_pnl,oos_mdd
AAVE/USDC:USDC,0,2,22.0,1.2,3.0,1.5,8,20,14.206,4.2231,0.61
AAVE/USDC:USDC,0,2,22.0,1.2,3.0,2.0,4,29,20.479,7.6787,0.66
AAVE/USDC:USDC,0,2,22.0,1.2,3.0,2.0,6,24,15.514,5.5609,0.85
AAVE/USDC:USDC,0,2,22.0,1.2,3.0,2.0,8,20,18.982,5.9141,0.65
AAVE/USDC:USDC,0,2,22.0,1.5,2.0,1.0,4,15,-23.89,-4.0379,0.67
AAVE/USDC:USDC,0,2,22.0,1.5,2.0,1.0,6,14,-39.632,-6.2292,1.04
AAVE/USDC:USDC,0,2,22.0,1.5,2.0,1.0,8,13,-20.394,-3.0043,0.8
AAVE/USDC:USDC,0,2,22.0,1.5,2.0,1.5,4,15,4.962,0.9415,0.67
AAVE/USDC:USDC,0,2,22.0,1.5,2.0,1.5,6,13,3.185,0.639,0.76
AAVE/USDC:USDC,0,2,22.0,1.5,2.0,1.5,8,13,32.452,6.5703,0.49
AAVE/USDC:USDC,0,2,22.0,1.5,2.0,2.0,4,15,-3.818,-0.8151,0.9
AAVE/USDC:USDC,0,2,22.0,1.5,2.0,2.0,6,13,-3.06,-0.6576,0.91
AAVE/USDC:USDC,0,2,22.0,1.5,2.0,2.0,8,13,21.094,4.7934,0.66
AAVE/USDC:USDC,0,2,22.0,1.5,2.5,1.0,4,21,2.535,0.5826,0.7
AAVE/USDC:USDC,0,2,22.0,1.5,2.5,1.0,6,17,-13.544,-2.7329,0.8
AAVE/USDC:USDC,0,2,22.0,1.5,2.5,1.0,8,16,-12.809,-2.6462,0.94
AAVE/USDC:USDC,0,2,22.0,1.5,2.5,1.5,4,21,16.178,3.8538,0.5
AAVE/USDC:USDC,0,2,22.0,1.5,2.5,1.5,6,17,24.537,6.2052,0.63
AAVE/USDC:USDC,0,2,22.0,1.5,2.5,1.5,8,16,13.73,3.5145,0.64
AAVE/USDC:USDC,0,2,22.0,1.5,2.5,2.0,4,21,13.662,3.424,0.66
AAVE/USDC:USDC,0,2,22.0,1.5,2.5,2.0,6,18,21.529,5.8552,0.54
AAVE/USDC:USDC,0,2,22.0,1.5,2.5,2.0,8,16,22.561,5.7916,0.65
AAVE/USDC:USDC,0,2,22.0,1.5,3.0,1.0,4,24,-10.348,-2.4886,0.72
AAVE/USDC:USDC,0,2,22.0,1.5,3.0,1.0,6,19,-22.98,-5.0533,0.87
AAVE/USDC:USDC,0,2,22.0,1.5,3.0,1.0,8,17,-47.176,-7.9075,1.34
AAVE/USDC:USDC,0,2,22.0,1.5,3.0,1.5,4,24,19.473,5.9833,0.51
AAVE/USDC:USDC,0,2,22.0,1.5,3.0,1.5,6,18,8.039,2.0786,0.68
AAVE/USDC:USDC,0,2,22.0,1.5,3.0,1.5,8,17,1.788,0.4521,0.63
AAVE/USDC:USDC,0,2,22.0,1.5,3.0,2.0,4,24,13.661,4.5583,0.66
AAVE/USDC:USDC,0,2,22.0,1.5,3.0,2.0,6,18,13.569,3.467,0.57
AAVE/USDC:USDC,0,2,22.0,1.5,3.0,2.0,8,17,8.066,2.149,0.66
AAVE/USDC:USDC,0,2,25.0,0.8,2.0,1.0,4,19,-32.605,-4.9464,1.06
AAVE/USDC:USDC,0,2,25.0,0.8,2.0,1.0,6,18,-33.983,-5.7697,1.24
AAVE/USDC:USDC,0,2,25.0,0.8,2.0,1.0,8,16,-36.112,-5.299,1.08
AAVE/USDC:USDC,0,2,25.0,0.8,2.0,1.5,4,20,1.417,0.3159,0.61
AAVE/USDC:USDC,0,2,25.0,0.8,2.0,1.5,6,18,2.755,0.7095,1.0
AAVE/USDC:USDC,0,2,25.0,0.8,2.0,1.5,8,16,6.246,1.5074,0.85
AAVE/USDC:USDC,0,2,25.0,0.8,2.0,2.0,4,19,-0.186,-0.0421,0.59
AAVE/USDC:USDC,0,2,25.0,0.8,2.0,2.0,6,17,6.955,1.7382,0.72
AAVE/USDC:USDC,0,2,25.0,0.8,2.0,2.0,8,15,10.925,2.6561,0.59
AAVE/USDC:USDC,0,2,25.0,0.8,2.5,1.0,4,24,-13.34,-2.9194,1.14
AAVE/USDC:USDC,0,2,25.0,0.8,2.5,1.0,6,21,-8.633,-2.0478,0.98
AAVE/USDC:USDC,0,2,25.0,0.8,2.5,1.0,8,18,-16.823,-3.6002,1.4
AAVE/USDC:USDC,0,2,25.0,0.8,2.5,1.5,4,24,13.18,3.1706,0.4
AAVE/USDC:USDC,0,2,25.0,0.8,2.5,1.5,6,20,16.544,4.7016,0.65
AAVE/USDC:USDC,0,2,25.0,0.8,2.5,1.5,8,17,19.088,4.8866,0.83
AAVE/USDC:USDC,0,2,25.0,0.8,2.5,2.0,4,25,13.285,3.6734,0.58
AAVE/USDC:USDC,0,2,25.0,0.8,2.5,2.0,6,20,27.234,7.1928,0.44
AAVE/USDC:USDC,0,2,25.0,0.8,2.5,2.0,8,16,19.072,5.1008,0.69
AAVE/USDC:USDC,0,2,25.0,0.8,3.0,1.0,4,27,-27.124,-5.9906,1.45
AAVE/USDC:USDC,0,2,25.0,0.8,3.0,1.0,6,22,-28.517,-6.487,1.39
AAVE/USDC:USDC,0,2,25.0,0.8,3.0,1.0,8,20,-48.924,-8.6328,1.76
AAVE/USDC:USDC,0,2,25.0,0.8,3.0,1.5,4,28,19.378,6.363,0.52
AAVE/USDC:USDC,0,2,25.0,0.8,3.0,1.5,6,21,4.371,1.2718,0.65
AAVE/USDC:USDC,0,2,25.0,0.8,3.0,1.5,8,20,-0.58,-0.1605,1.15
